> CRF
120.6115 23.9192 3.0228
120.6115 23.9168 3.0228
120.6116 23.9144 3.0228
120.6116 23.9120 3.0228
120.6116 23.9096 3.0228
120.6116 23.9072 3.0228
120.6117 23.9048 3.0228
120.6117 23.9024 3.0228
120.6117 23.9000 3.0227
120.6117 23.8976 3.0227
120.6118 23.8952 3.0227
120.6118 23.8928 3.0227
120.6118 23.8904 3.0227
120.6118 23.8880 3.0227
120.6119 23.8856 3.0227
120.6119 23.8832 3.0227
120.6119 23.8808 3.0227
120.6119 23.8784 3.0227
120.6120 23.8760 3.0227
120.6118 23.8736 3.0225
120.6116 23.8711 3.0224
120.6114 23.8687 3.0222
120.6112 23.8663 3.0221
120.6110 23.8638 3.0219
120.6108 23.8614 3.0217
120.6107 23.8590 3.0216
120.6105 23.8565 3.0214
120.6103 23.8541 3.0213
120.6101 23.8516 3.0211
120.6099 23.8492 3.0210
120.6097 23.8468 3.0208
120.6095 23.8443 3.0207
120.6094 23.8419 3.0205
120.6092 23.8395 3.0204
120.6090 23.8370 3.0202
120.6088 23.8346 3.0201
120.6086 23.8321 3.0199
120.6084 23.8297 3.0198
120.6082 23.8273 3.0196
120.6085 23.8248 3.0197
120.6088 23.8224 3.0198
120.6091 23.8200 3.0200
120.6094 23.8175 3.0201
120.6097 23.8151 3.0202
120.6100 23.8127 3.0203
120.6103 23.8102 3.0204
120.6106 23.8078 3.0205
120.6108 23.8054 3.0206
120.6111 23.8029 3.0208
120.6114 23.8005 3.0209
120.6117 23.7980 3.0210
120.6120 23.7956 3.0211
120.6123 23.7932 3.0212
120.6126 23.7907 3.0213
120.6129 23.7883 3.0214
120.6132 23.7859 3.0216
120.6135 23.7834 3.0217
120.6138 23.7810 3.0218
120.6140 23.7786 3.0219
120.6137 23.7761 3.0217
120.6133 23.7737 3.0215
120.6129 23.7713 3.0213
120.6126 23.7688 3.0211
120.6122 23.7664 3.0209
120.6118 23.7640 3.0207
120.6115 23.7615 3.0205
120.6111 23.7591 3.0203
120.6107 23.7566 3.0201
120.6104 23.7542 3.0199
120.6100 23.7518 3.0197
120.6096 23.7493 3.0195
120.6093 23.7469 3.0193
120.6089 23.7445 3.0191
120.6085 23.7420 3.0189
120.6082 23.7396 3.0187
120.6078 23.7372 3.0185
120.6074 23.7347 3.0183
120.6071 23.7323 3.0181
120.6067 23.7299 3.0179
120.6065 23.7274 3.0177
120.6063 23.7250 3.0176
120.6061 23.7225 3.0174
120.6059 23.7201 3.0172
120.6057 23.7177 3.0170
120.6055 23.7152 3.0168
120.6053 23.7128 3.0167
120.6052 23.7103 3.0165
120.6050 23.7079 3.0163
120.6048 23.7054 3.0161
120.6046 23.7030 3.0159
120.6044 23.7006 3.0157
120.6042 23.6981 3.0156
120.6040 23.6957 3.0154
120.6038 23.6932 3.0152
120.6036 23.6908 3.0150
120.6034 23.6883 3.0148
120.6032 23.6859 3.0146
120.6030 23.6835 3.0145
120.6028 23.6810 3.0143
> Chaochou
120.7120 23.1233 12.2336
120.7104 23.1214 12.0033
120.7088 23.1196 11.7731
120.7072 23.1177 11.5429
120.7057 23.1159 11.3126
120.7041 23.1141 11.0824
120.7025 23.1122 10.8521
120.7009 23.1104 10.6219
120.6993 23.1085 10.3916
120.6977 23.1067 10.1614
120.6962 23.1048 9.9311
120.6946 23.1030 9.7009
120.6930 23.1012 9.4706
120.6914 23.0993 9.2404
120.6898 23.0975 9.0101
120.6883 23.0956 8.7799
120.6867 23.0938 8.5496
120.6851 23.0920 8.3194
120.6835 23.0901 8.0891
120.6819 23.0883 7.8589
120.6804 23.0864 7.6287
120.6793 23.0843 7.4726
120.6782 23.0822 7.3165
120.6771 23.0800 7.1604
120.6761 23.0779 7.0043
120.6750 23.0758 6.8482
120.6739 23.0736 6.6921
120.6729 23.0715 6.5360
120.6718 23.0694 6.3799
120.6707 23.0672 6.2238
120.6697 23.0651 6.0677
120.6686 23.0630 5.9116
120.6675 23.0608 5.7555
120.6665 23.0587 5.5994
120.6654 23.0566 5.4433
120.6643 23.0544 5.2872
120.6632 23.0523 5.1311
120.6622 23.0502 4.9750
120.6611 23.0480 4.8189
120.6600 23.0459 4.6628
120.6590 23.0438 4.5067
120.6582 23.0415 4.4395
120.6575 23.0392 4.3723
120.6568 23.0370 4.3051
120.6560 23.0347 4.2379
120.6553 23.0325 4.1707
120.6546 23.0302 4.1035
120.6538 23.0280 4.0362
120.6531 23.0257 3.9690
120.6524 23.0234 3.9018
120.6516 23.0212 3.8346
120.6509 23.0189 3.7674
120.6502 23.0167 3.7002
120.6495 23.0144 3.6330
120.6487 23.0121 3.5658
120.6480 23.0099 3.4986
120.6473 23.0076 3.4314
120.6465 23.0054 3.3642
120.6458 23.0031 3.2970
120.6451 23.0008 3.2297
120.6443 22.9986 3.1625
120.6446 22.9963 3.1615
120.6449 22.9940 3.1604
120.6451 22.9918 3.1594
120.6454 22.9895 3.1583
120.6457 22.9872 3.1572
120.6460 22.9849 3.1562
120.6462 22.9827 3.1551
120.6465 22.9804 3.1541
120.6468 22.9781 3.1530
120.6471 22.9758 3.1520
120.6473 22.9736 3.1509
120.6476 22.9713 3.1498
120.6479 22.9690 3.1488
120.6482 22.9667 3.1477
120.6484 22.9645 3.1467
120.6487 22.9622 3.1456
120.6490 22.9599 3.1446
120.6493 22.9576 3.1435
120.6495 22.9554 3.1424
120.6498 22.9531 3.1414
120.6498 22.9508 3.1432
120.6498 22.9484 3.1451
120.6499 22.9461 3.1469
120.6499 22.9438 3.1488
120.6499 22.9415 3.1506
120.6499 22.9392 3.1524
120.6499 22.9368 3.1543
120.6500 22.9345 3.1561
120.6500 22.9322 3.1580
120.6500 22.9299 3.1598
120.6500 22.9276 3.1617
120.6500 22.9252 3.1635
120.6501 22.9229 3.1653
120.6501 22.9206 3.1672
120.6501 22.9183 3.1690
120.6501 22.9160 3.1709
120.6501 22.9136 3.1727
120.6501 22.9113 3.1746
120.6502 22.9090 3.1764
120.6502 22.9067 3.1782
120.6493 22.9045 3.0722
120.6485 22.9023 2.9662
120.6476 22.9002 2.8602
120.6468 22.8980 2.7542
120.6459 22.8959 2.6482
120.6451 22.8937 2.5422
120.6442 22.8915 2.4362
120.6434 22.8894 2.3302
120.6425 22.8872 2.2241
120.6417 22.8851 2.1181
120.6408 22.8829 2.0121
120.6400 22.8807 1.9061
120.6391 22.8786 1.8001
120.6383 22.8764 1.6941
120.6374 22.8743 1.5881
120.6366 22.8721 1.4821
120.6357 22.8699 1.3761
120.6348 22.8678 1.2701
120.6340 22.8656 1.1640
120.6331 22.8635 1.0580
120.6328 22.8612 1.0145
120.6324 22.8589 0.9710
120.6321 22.8566 0.9274
120.6317 22.8543 0.8839
120.6314 22.8520 0.8404
120.6310 22.8497 0.7969
120.6307 22.8474 0.7533
120.6303 22.8451 0.7098
120.6300 22.8428 0.6663
120.6296 22.8405 0.6228
120.6293 22.8382 0.5792
120.6289 22.8359 0.5357
120.6285 22.8336 0.4922
120.6282 22.8313 0.4487
120.6278 22.8290 0.4051
120.6275 22.8268 0.3616
120.6271 22.8245 0.3181
120.6268 22.8222 0.2745
120.6264 22.8199 0.2310
120.6261 22.8176 0.1875
120.6262 22.8153 0.1783
120.6262 22.8130 0.1691
120.6263 22.8108 0.1600
120.6264 22.8085 0.1508
120.6265 22.8062 0.1416
120.6265 22.8039 0.1324
120.6266 22.8016 0.1233
