> CRF
120.6070 22.6709 50.3385
120.6067 22.6686 50.3385
120.6064 22.6663 50.3385
120.6061 22.6639 50.3385
120.6058 22.6616 50.3385
120.6055 22.6593 50.3385
120.6052 22.6570 50.3385
120.6048 22.6546 50.3385
120.6045 22.6523 50.3385
120.6042 22.6500 50.3385
120.6039 22.6477 50.3385
120.6036 22.6454 50.3385
120.6033 22.6430 50.3385
120.6030 22.6407 50.3385
120.6027 22.6384 50.3385
120.6024 22.6361 50.3385
120.6021 22.6338 50.3385
120.6030 22.6315 50.3385
120.6038 22.6293 50.3385
120.6047 22.6271 50.3385
120.6055 22.6249 50.3385
120.6064 22.6227 50.3385
120.6073 22.6205 50.3385
120.6081 22.6183 50.3385
120.6090 22.6161 50.3385
120.6098 22.6139 50.3385
120.6107 22.6116 50.3385
120.6116 22.6094 50.3385
120.6124 22.6072 50.3385
120.6133 22.6050 50.3385
120.6142 22.6028 50.3385
120.6150 22.6006 50.3385
120.6159 22.5984 50.3385
120.6167 22.5962 50.3385
120.6176 22.5940 50.3385
120.6185 22.5918 50.3385
120.6193 22.5895 50.3385
120.6194 22.5873 50.3385
120.6195 22.5850 50.3385
120.6197 22.5827 50.3385
120.6198 22.5804 50.3385
120.6199 22.5781 50.3385
120.6200 22.5758 50.3385
120.6201 22.5735 50.3385
120.6202 22.5712 50.3385
120.6203 22.5689 50.3385
120.6204 22.5667 50.3385
120.6205 22.5644 50.3385
120.6206 22.5621 50.3385
120.6207 22.5598 50.3385
120.6208 22.5575 50.3385
120.6209 22.5552 50.3385
120.6211 22.5529 50.3385
120.6212 22.5506 50.3385
120.6213 22.5483 50.3385
120.6214 22.5461 50.3385
120.6215 22.5438 50.3385
120.6214 22.5415 50.3385
120.6213 22.5391 50.3385
120.6213 22.5368 50.3385
120.6212 22.5345 50.3385
120.6211 22.5322 50.3385
120.6210 22.5299 50.3385
120.6210 22.5276 50.3385
120.6209 22.5253 50.3385
120.6208 22.5230 50.3385
120.6208 22.5207 50.3385
120.6207 22.5184 50.3385
120.6206 22.5161 50.3385
120.6205 22.5138 50.3385
120.6205 22.5115 50.3385
120.6204 22.5092 50.3385
120.6203 22.5068 50.3385
120.6202 22.5045 50.3385
120.6202 22.5022 50.3385
120.6201 22.4999 50.3385
120.6200 22.4976 50.3385
120.6196 22.4954 50.3385
120.6191 22.4931 50.3385
120.6186 22.4909 50.3385
120.6182 22.4887 50.3385
120.6177 22.4864 50.3385
120.6172 22.4842 50.3385
120.6168 22.4820 50.3385
120.6163 22.4797 50.3385
120.6158 22.4775 50.3385
120.6153 22.4753 50.3385
120.6149 22.4730 50.3385
120.6144 22.4708 50.3385
120.6139 22.4685 50.3385
120.6135 22.4663 50.3385
120.6130 22.4641 50.3385
120.6125 22.4618 50.3385
120.6121 22.4596 50.3385
120.6116 22.4574 50.3385
120.6111 22.4551 50.3385
120.6107 22.4529 50.3385
120.6108 22.4505 50.3385
120.6108 22.4482 50.3385
120.6109 22.4458 50.3385
120.6110 22.4435 50.3385
120.6111 22.4412 50.3385
120.6112 22.4388 50.3385
120.6113 22.4365 50.3385
120.6114 22.4341 50.3385
